Starting Price: 1.104640, Ending Price: 1.104670, Highest Price: 1.104680, Lowest Price: 1.104630, Total Volume: 0.000000
Starting Price: 1.103830, Ending Price: 1.103910, Highest Price: 1.103930, Lowest Price: 1.103830, Total Volume: 0.000000
Starting Price: 1.103920, Ending Price: 1.103940, Highest Price: 1.103980, Lowest Price: 1.103910, Total Volume: 0.000000
Starting Price: 1.103950, Ending Price: 1.103890, Highest Price: 1.103970, Lowest Price: 1.103880, Total Volume: 0.000000
Starting Price: 1.103880, Ending Price: 1.103930, Highest Price: 1.103930, Lowest Price: 1.103860, Total Volume: 0.000000
Starting Price: 1.103920, Ending Price: 1.103930, Highest Price: 1.103940, Lowest Price: 1.103900, Total Volume: 0.000000
Starting Price: 1.103940, Ending Price: 1.103810, Highest Price: 1.103950, Lowest Price: 1.103800, Total Volume: 0.000000
Starting Price: 1.103760, Ending Price: 1.103720, Highest Price: 1.103770, Lowest Price: 1.103710, Total Volume: 0.000000
Starting Price: 1.103710, Ending Price: 1.103670, Highest Price: 1.103720, Lowest Price: 1.103640, Total Volume: 0.000000
Starting Price: 1.103650, Ending Price: 1.103560, Highest Price: 1.103670, Lowest Price: 1.103530, Total Volume: 0.000000
Starting Price: 1.103570, Ending Price: 1.103530, Highest Price: 1.103600, Lowest Price: 1.103530, Total Volume: 0.000000
Starting Price: 1.103540, Ending Price: 1.103580, Highest Price: 1.103580, Lowest Price: 1.103520, Total Volume: 0.000000
Starting Price: 1.103590, Ending Price: 1.103700, Highest Price: 1.103720, Lowest Price: 1.103590, Total Volume: 0.000000
Starting Price: 1.103710, Ending Price: 1.103730, Highest Price: 1.103770, Lowest Price: 1.103710, Total Volume: 0.000000
Starting Price: 1.103720, Ending Price: 1.103770, Highest Price: 1.103780, Lowest Price: 1.103660, Total Volume: 0.000000
Starting Price: 1.103780, Ending Price: 1.103850, Highest Price: 1.103850, Lowest Price: 1.103750, Total Volume: 0.000000
Starting Price: 1.103870, Ending Price: 1.103860, Highest Price: 1.103890, Lowest Price: 1.103820, Total Volume: 0.000000
Starting Price: 1.103840, Ending Price: 1.103880, Highest Price: 1.103910, Lowest Price: 1.103830, Total Volume: 0.000000
Starting Price: 1.103890, Ending Price: 1.103730, Highest Price: 1.103890, Lowest Price: 1.103730, Total Volume: 0.000000
Starting Price: 1.103760, Ending Price: 1.103780, Highest Price: 1.103820, Lowest Price: 1.103760, Total Volume: 0.000000
Starting Price: 1.103790, Ending Price: 1.103730, Highest Price: 1.103790, Lowest Price: 1.103730, Total Volume: 0.000000
Starting Price: 1.103720, Ending Price: 1.103750, Highest Price: 1.103780, Lowest Price: 1.103710, Total Volume: 0.000000
Starting Price: 1.103760, Ending Price: 1.103780, Highest Price: 1.103780, Lowest Price: 1.103640, Total Volume: 0.000000
Starting Price: 1.103820, Ending Price: 1.103870, Highest Price: 1.103870, Lowest Price: 1.103770, Total Volume: 0.000000
Starting Price: 1.103860, Ending Price: 1.103830, Highest Price: 1.103860, Lowest Price: 1.103770, Total Volume: 0.000000
Starting Price: 1.103810, Ending Price: 1.103790, Highest Price: 1.103840, Lowest Price: 1.103780, Total Volume: 0.000000
Starting Price: 1.103790, Ending Price: 1.103780, Highest Price: 1.103820, Lowest Price: 1.103770, Total Volume: 0.000000
Starting Price: 1.103790, Ending Price: 1.103760, Highest Price: 1.103790, Lowest Price: 1.103730, Total Volume: 0.000000
Starting Price: 1.103770, Ending Price: 1.103830, Highest Price: 1.103840, Lowest Price: 1.103760, Total Volume: 0.000000
Starting Price: 1.103820, Ending Price: 1.103960, Highest Price: 1.103970, Lowest Price: 1.103820, Total Volume: 0.000000
Starting Price: 1.103950, Ending Price: 1.104030, Highest Price: 1.104070, Lowest Price: 1.103930, Total Volume: 0.000000
Starting Price: 1.104050, Ending Price: 1.103940, Highest Price: 1.104070, Lowest Price: 1.103940, Total Volume: 0.000000
Starting Price: 1.103930, Ending Price: 1.103860, Highest Price: 1.103940, Lowest Price: 1.103820, Total Volume: 0.000000
Starting Price: 1.103880, Ending Price: 1.103920, Highest Price: 1.103950, Lowest Price: 1.103870, Total Volume: 0.000000
Starting Price: 1.103930, Ending Price: 1.103830, Highest Price: 1.103970, Lowest Price: 1.103820, Total Volume: 0.000000
Starting Price: 1.103860, Ending Price: 1.103880, Highest Price: 1.103880, Lowest Price: 1.103770, Total Volume: 0.000000
Starting Price: 1.103870, Ending Price: 1.103820, Highest Price: 1.103880, Lowest Price: 1.103780, Total Volume: 0.000000
Starting Price: 1.103830, Ending Price: 1.103790, Highest Price: 1.103880, Lowest Price: 1.103790, Total Volume: 0.000000
Starting Price: 1.103800, Ending Price: 1.103700, Highest Price: 1.103830, Lowest Price: 1.103650, Total Volume: 0.000000
Starting Price: 1.103710, Ending Price: 1.103720, Highest Price: 1.103760, Lowest Price: 1.103680, Total Volume: 0.000000
Starting Price: 1.103730, Ending Price: 1.103660, Highest Price: 1.103730, Lowest Price: 1.103650, Total Volume: 0.000000
Starting Price: 1.103670, Ending Price: 1.103650, Highest Price: 1.103690, Lowest Price: 1.103630, Total Volume: 0.000000
Starting Price: 1.103640, Ending Price: 1.103600, Highest Price: 1.103710, Lowest Price: 1.103590, Total Volume: 0.000000
Starting Price: 1.103610, Ending Price: 1.103770, Highest Price: 1.103770, Lowest Price: 1.103570, Total Volume: 0.000000
Starting Price: 1.103760, Ending Price: 1.103730, Highest Price: 1.103770, Lowest Price: 1.103710, Total Volume: 0.000000
Starting Price: 1.103710, Ending Price: 1.103730, Highest Price: 1.103760, Lowest Price: 1.103680, Total Volume: 0.000000
Starting Price: 1.103740, Ending Price: 1.103730, Highest Price: 1.103770, Lowest Price: 1.103700, Total Volume: 0.000000
Starting Price: 1.103720, Ending Price: 1.103690, Highest Price: 1.103730, Lowest Price: 1.103680, Total Volume: 0.000000
Starting Price: 1.103680, Ending Price: 1.103630, Highest Price: 1.103690, Lowest Price: 1.103580, Total Volume: 0.000000
Starting Price: 1.103660, Ending Price: 1.103770, Highest Price: 1.103780, Lowest Price: 1.103650, Total Volume: 0.000000
Starting Price: 1.103780, Ending Price: 1.103780, Highest Price: 1.103810, Lowest Price: 1.103720, Total Volume: 0.000000
Starting Price: 1.103770, Ending Price: 1.103740, Highest Price: 1.103800, Lowest Price: 1.103730, Total Volume: 0.000000
Starting Price: 1.103740, Ending Price: 1.103830, Highest Price: 1.103840, Lowest Price: 1.103730, Total Volume: 0.000000
Starting Price: 1.103850, Ending Price: 1.103830, Highest Price: 1.103870, Lowest Price: 1.103830, Total Volume: 0.000000
Starting Price: 1.103830, Ending Price: 1.103830, Highest Price: 1.103850, Lowest Price: 1.103830, Total Volume: 0.000000
Starting Price: 1.103840, Ending Price: 1.103860, Highest Price: 1.103860, Lowest Price: 1.103830, Total Volume: 0.000000
Starting Price: 1.103870, Ending Price: 1.103870, Highest Price: 1.103870, Lowest Price: 1.103830, Total Volume: 0.000000
Starting Price: 1.103850, Ending Price: 1.103800, Highest Price: 1.103910, Lowest Price: 1.103800, Total Volume: 0.000000
Starting Price: 1.103810, Ending Price: 1.103840, Highest Price: 1.103840, Lowest Price: 1.103800, Total Volume: 0.000000
Starting Price: 1.103840, Ending Price: 1.103940, Highest Price: 1.103940, Lowest Price: 1.103820, Total Volume: 0.000000
Starting Price: 1.103930, Ending Price: 1.103930, Highest Price: 1.103940, Lowest Price: 1.103900, Total Volume: 0.000000
Starting Price: 1.103920, Ending Price: 1.103930, Highest Price: 1.103930, Lowest Price: 1.103910, Total Volume: 0.000000
Starting Price: 1.103920, Ending Price: 1.103840, Highest Price: 1.103920, Lowest Price: 1.103830, Total Volume: 0.000000
Starting Price: 1.103850, Ending Price: 1.103780, Highest Price: 1.103890, Lowest Price: 1.103770, Total Volume: 0.000000
Starting Price: 1.103800, Ending Price: 1.103830, Highest Price: 1.103840, Lowest Price: 1.103770, Total Volume: 0.000000
Starting Price: 1.103800, Ending Price: 1.103720, Highest Price: 1.103810, Lowest Price: 1.103720, Total Volume: 0.000000
Starting Price: 1.103710, Ending Price: 1.103700, Highest Price: 1.103740, Lowest Price: 1.103660, Total Volume: 0.000000
Starting Price: 1.103680, Ending Price: 1.103620, Highest Price: 1.103680, Lowest Price: 1.103590, Total Volume: 0.000000
Starting Price: 1.103600, Ending Price: 1.103600, Highest Price: 1.103610, Lowest Price: 1.103550, Total Volume: 0.000000
Starting Price: 1.103610, Ending Price: 1.103580, Highest Price: 1.103640, Lowest Price: 1.103580, Total Volume: 0.000000
Starting Price: 1.103590, Ending Price: 1.103610, Highest Price: 1.103670, Lowest Price: 1.103570, Total Volume: 0.000000
Starting Price: 1.103620, Ending Price: 1.103620, Highest Price: 1.103670, Lowest Price: 1.103620, Total Volume: 0.000000
Starting Price: 1.103610, Ending Price: 1.103570, Highest Price: 1.103640, Lowest Price: 1.103560, Total Volume: 0.000000
Starting Price: 1.103580, Ending Price: 1.103570, Highest Price: 1.103590, Lowest Price: 1.103560, Total Volume: 0.000000
Starting Price: 1.103580, Ending Price: 1.103580, Highest Price: 1.103580, Lowest Price: 1.103520, Total Volume: 0.000000
Starting Price: 1.103580, Ending Price: 1.103620, Highest Price: 1.103620, Lowest Price: 1.103560, Total Volume: 0.000000
Starting Price: 1.103630, Ending Price: 1.103640, Highest Price: 1.103660, Lowest Price: 1.103610, Total Volume: 0.000000
Starting Price: 1.103690, Ending Price: 1.103630, Highest Price: 1.103700, Lowest Price: 1.103620, Total Volume: 0.000000
Starting Price: 1.103630, Ending Price: 1.103630, Highest Price: 1.103690, Lowest Price: 1.103620, Total Volume: 0.000000
Starting Price: 1.103640, Ending Price: 1.103630, Highest Price: 1.103640, Lowest Price: 1.103610, Total Volume: 0.000000
Starting Price: 1.103640, Ending Price: 1.103630, Highest Price: 1.103640, Lowest Price: 1.103600, Total Volume: 0.000000
